country,year,gdp
TUR,2023,1118252964260.77
TUR,2022,907118434653.505
TUR,2021,819865223976.115
TUR,2020,720338490327.248
TUR,2019,761005915750.925
TUR,2018,778972108040.602
TUR,2017,858988492853.742
TUR,2016,869682881593.041
TUR,2015,864313810469.009
TUR,2014,938934609296.966
TUR,2013,957799120008.32
TUR,2012,880555885492.269
TUR,2011,838785289694.35
TUR,2010,776967266305.53
TUR,2009,649289324627.732
TUR,2008,770449132861.373
TUR,2007,681321124295.914
TUR,2006,557076157773.479
TUR,2005,506314717661.655
TUR,2004,408865430220.331
TUR,2003,314595572145.767
TUR,2002,240249071871.106
TUR,2001,201753123806.695
TUR,2000,274294623164.043
TUR,1999,256395932738.435
TUR,1998,275941990764.18
TUR,1997,189878399894.643
TUR,1996,181464408820.097
TUR,1995,169319579016.25
TUR,1994,130650447499.071
TUR,1993,180415757851.616
TUR,1992,159104772991.851
TUR,1991,151034731543.624
TUR,1990,150655500191.644
GBR,2023,3380854520809.54
GBR,2022,3114042471144.39
GBR,2021,3143323050707.26
GBR,2020,2696778386607.65
GBR,2019,2851407164907.81
GBR,2018,2871340347581.79
GBR,2017,2680148052335.3
GBR,2016,2689106566899.61
GBR,2015,2927911140916.73
GBR,2014,3064708247921.43
GBR,2013,2784853502534.29
GBR,2012,2707089726614.64
GBR,2011,2663805834828.07
GBR,2010,2485482596184.71
GBR,2009,2412840006231.5
GBR,2008,2929411764705.88
GBR,2007,3090510204081.63
GBR,2006,2708441582336.71
GBR,2005,2543180000000.0
GBR,2004,2421525082387.4
GBR,2003,2054422857142.86
GBR,2002,1785729916067.15
GBR,2001,1649827263567.01
GBR,2000,1665534876683.31
GBR,1999,1687830448147.55
GBR,1998,1653694932096.72
GBR,1997,1560911918795.02
GBR,1996,1419645865834.63
GBR,1995,1344240176739.78
GBR,1994,1140489745944.29
GBR,1993,1061388722255.55
GBR,1992,1179659529659.53
GBR,1991,1142797178130.51
GBR,1990,1093169389204.55
USA,2023,27720709000000.0
USA,2022,26006893000000.0
USA,2021,23681171000000.0
USA,2020,21354105000000.0
USA,2019,21539982000000.0
USA,2018,20656516000000.0
USA,2017,19612102000000.0
USA,2016,18804913000000.0
USA,2015,18295019000000.0
USA,2014,17608138000000.0
USA,2013,16880683000000.0
USA,2012,16253970000000.0
USA,2011,15599732000000.0
USA,2010,15048971000000.0
USA,2009,14478067000000.0
USA,2008,14769862000000.0
USA,2007,14474228000000.0
USA,2006,13815583000000.0
USA,2005,13039197000000.0
USA,2004,12217196000000.0
USA,2003,11456450000000.0
USA,2002,10929108000000.0
USA,2001,10581929000000.0
USA,2000,10250952000000.0
USA,1999,9631172000000.0
USA,1998,9062817000000.0
USA,1997,8577552000000.0
USA,1996,8073122000000.0
USA,1995,7639749000000.0
USA,1994,7287236000000.0
USA,1993,6858559000000.0
USA,1992,6520327000000.0
USA,1991,6158129000000.0
USA,1990,5963144000000.0
